Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3.5mm PJ-320D audio jack (10PCS)","Port for TRRS cable",,1.20,"https://www.aliexpress.com/item/4000661908135.html","Aliexpress"
"1N5819WS SOD-323 Diodes (100PCS)","Diodes for key matrix",,1.64,"https://www.aliexpress.com/item/1005006216984245.html","Aliexpress"
"Male-to-Male TRRS cable","For MCU's to share power and data",1,2.50,"https://www.aliexpress.com/item/1005008288720867.html","Aliexpress"
"Black XDA Profile keycaps (64PCS)","Key caps",,15.06,"https://www.aliexpress.com/item/1005011932744770.html?mp=1","Aliexpress"
"MX style Brown key switches (80PCS)","Key switches",,6.91,"https://www.aliexpress.com/item/1005011838889689.html","Aliexpress"
"Raspberry Pico","Microcontroller",2,4.55,"https://www.aliexpress.com/item/1005005617180169.html","Aliexpress"
"PCB","Keyboard PCB",5,22.90,"","JLCPCB"
